Name,Nickname,Age,Facebook,Facebook Link,Instagram,Instagram Link,Hashtag,Twitter Volume,Favorites,Retweets,Engagement Score,Sentiment
Napassanan Thambuacha,Angel,24,Angel CGM48,https://www.facebook.com/cgm48official.angel,@angel.cgm48official,https://www.instagram.com/angel.cgm48official,AngelCGM48,0,-,-,-,-
Punyawee Jungcharoen,Aom,24,Aom CGM48,https://www.facebook.com/cgm48official.aom,@aom.cgm48official,https://www.instagram.com/aom.cgm48official,AomCGM48,0,-,-,-,-
Kodchaporn Leelatheep,Champoo,16,Champoo CGM48,https://www.facebook.com/cgm48official.champoo,@champoo.cgm48official,https://www.instagram.com/champoo.cgm48official,ChampooCGM48,0,-,-,-,-
Phattaratida Chongprasankiat,Fahsai,14,Fahsai CGM48,https://www.facebook.com/cgm48official.fahsai,@fahsai.cgm48official,https://www.instagram.com/fahsai.cgm48official,FahsaiCGM48,0,-,-,-,-
Pundita Koontawee,Fortune,22,Fortune CGM48,https://www.facebook.com/cgm48official.fortune,@fortune.cgm48official,https://www.instagram.com/fortune.cgm48official,FortuneCGM48,0,-,-,-,-
Izuta Rina,Izurina,25,Izurina CGM48,https://www.facebook.com/cgm48official.izutarina,@rina.cgm48official,https://www.instagram.com/rina.cgm48official,IzurinaCGM48,0,-,-,-,-
Ravinda Alan,Jayda,14,Jayda CGM48,https://www.facebook.com/cgm48official.jayda,@jayda.cgm48official,https://www.instagram.com/jayda.cgm48official,JaydaCGM48,0,-,-,-,-
Supapit Sripairoj,Jjae,15,Jjae CGM48,https://www.facebook.com/cgm48official.jjae,@jjae.cgm48official,https://www.instagram.com/jjae.cgm48official,JjaeCGM48,0,-,-,-,-
Manita Chanchai,Kaiwan,17,Kaiwan CGM48,https://www.facebook.com/cgm48official.kaiwan,@kaiwan.cgm48official,https://www.instagram.com/kaiwan.cgm48official,KaiwanCGM48,0,-,-,-,-
Vithita Srasreesom,Kaning,16,Kaning CGM48,https://www.facebook.com/cgm48official.kaning,@kaning.cgm48official,https://www.instagram.com/kaning.cgm48official,KaningCGM48,0,-,-,-,-
Kyla Ziyun Khoo,Kyla,14,Kyla CGM48,https://www.facebook.com/cgm48official.kyla,@kyla.cgm48official,https://www.instagram.com/kyla.cgm48official,KylaCGM48,0,-,-,-,-
Pimnara Rumruaymunkong,Latin,15,Latin CGM48,https://www.facebook.com/cgm48official.latin,@latin.cgm48official,https://www.instagram.com/latin.cgm48official,LatinCGM48,0,-,-,-,-
Manichar Aimdilokwong,Marmink,22,Marmink CGM48,https://www.facebook.com/cgm48official.marmink,@marmink.cgm48official,https://www.instagram.com/marmink.cgm48official,MarminkCGM48,0,-,-,-,-
Pitchayathida Sonthisakwanna,Meen,18,Meen CGM48,https://www.facebook.com/cgm48official.meen,@meen.cgm48official,https://www.instagram.com/meen.cgm48official,MeenCGM48,0,-,-,-,-
Rapeephan Chaemcharoen,Mei,17,Mei CGM48,https://www.facebook.com/cgm48official.mei,@mei.cgm48official,https://www.instagram.com/mei.cgm48official,MeiCGM48,0,-,-,-,-
Chayanan Jedpeenongruamjai,Milk,15,Milk CGM48,https://www.facebook.com/cgm48official.milk,@milk.cgm48official,https://www.instagram.com/milk.cgm48official,MilkCGM48,0,-,-,-,-
Nattarika Boontua,Nena,21,Nena CGM48,https://www.facebook.com/cgm48official.nena,@nena.cgm48official,https://www.instagram.com/nena.cgm48official,NenaCGM48,0,-,-,-,-
Phitchayapha Supanya,Nenie,19,Nenie CGM48,https://www.facebook.com/cgm48official.nenie,@nenie.cgm48official,https://www.instagram.com/nenie.cgm48official,NenieCGM48,0,-,-,-,-
Nicharee Sungkhathat Na Ayudhya,Nicha,17,Nicha CGM48,https://www.facebook.com/cgm48official.nicha,@nicha.cgm48official,https://www.instagram.com/nicha.cgm48official,NichaCGM48,0,-,-,-,-
Chutipapha Rattanakornyannawut,Parima,16,Parima CGM48,https://www.facebook.com/cgm48official.parima,@parima.cgm48official,https://www.instagram.com/parima.cgm48official,ParimaCGM48,0,-,-,-,-
Jirattikan Tasee,Pepo,15,Pepo CGM48,https://www.facebook.com/cgm48official.pepo,@pepo.cgm48official,https://www.instagram.com/pepo.cgm48official,PepoCGM48,0,-,-,-,-
Pronwarin Wongtrakulkit,Pim,15,Pim CGM48,https://www.facebook.com/cgm48official.pim,@pim.cgm48official,https://www.instagram.com/pim.cgm48official,PimCGM48,0,-,-,-,-
Pinpana Saengboon,Ping,18,Ping CGM48,https://www.facebook.com/cgm48official.ping,@ping.cgm48official,https://www.instagram.com/ping.cgm48official,PingCGM48,0,-,-,-,-
Wacharee Danphasukkul,Punch,15,Punch CGM48,https://www.facebook.com/cgm48official.punch,@punch.cgm48official,https://www.instagram.com/punch.cgm48official,PunchCGM48,0,-,-,-,-
Sita Teeradechsakul,Sita,18,Sita CGM48,https://www.facebook.com/cgm48official.sita,@sita.cgm48official,https://www.instagram.com/sita.cgm48official,SitaCGM48,0,-,-,-,-
